,Medicine Name,AHMEDNAGAR,AKOLA,AMARAVATI,AMRAVATI,ANDRA PRADESH,AURANGABAD,BADLAPUR,BAGALKOT,BALAGHAT,BANGALORE,BEED,BELGAUM,BELLARY,BHANDARA,BULDHANA,BURHANPUR,CHANDRAPUR,DAVANGERE,DEVGAD ,DHARWAD,DHULE,DOMBIVLI,GADAG,GADCHIROLI,GONDIA,GONDIYA,GULBARGA,HINGOLI,HYDERABAD,ICHALKARANJI,JAIPUR,JALANA,JALGAON,JALNA,KALYAN,KERALA,KHORDHA,KOLHAPUR,KOPPAL,LATUR,MALKAJGIRI,MUMBAI,NAGPUR,NAGPUR ,NANDED,NANDURBAR,NASHIK,NAVI MUMBAI,OSMANABAD,PARBHANI,PUNE,RAIGAD,RATNAGIRI,SANGLI,SATARA,SINDHUDURG,SOLAPUR,THANE,UTTAR KANNADA,VIJAYAPURA,WARDHA,WASHIM,YAVATMAL,avg_mean
10,VILDAGLIPTIN 50 MG + METFORMIN HYDROCHLORIDE 500 MG,239.5,207.8947368421053,20,120.7692307692308,0,373.3333333333333,60.0,20.0,270,0,165.7894736842105,31.09375,0,257.1428571428572,176.2777777777778,20,147.8947368421053,0,60,85.0,267.1111111111111,280,16.66666666666667,326.6666666666667,187.5,0,50,133.5,40.0,40.0,50,194.2105263157895,126.6666666666667,0.0,130,140.0,200.0,315.5172413793103,15.0,293.3333333333333,20,453.3333333333333,386.4444444444445,200,62.14285714285715,316.0,210.3125,317.5,301.8181818181818,196.3636363636364,437.4426229508197,451.8181818181818,529.0,342.9310344827586,407.3529411764706,37.5,365.1470588235294,265.3846153846154,0,40,433.3333333333333,220.0,445.0,182.5348071365607
11,GLIMEPIRIDE 1 MG + METFORMIN HYDROCHLORIDE 500 MG PR,301.5,170.0,40,168.6538461538462,0,185.0,121.25,49.33333333333334,0,0,130.5263157894737,31.28125,0,184.2857142857143,341.6666666666667,20,248.578947368421,30,320,85.0,48.88888888888889,440,106.6666666666667,136.6666666666667,110.0,0,60,222.0,60.0,40.0,70,348.9473684210527,26.66666666666667,20.0,0,265.0,86.66666666666667,316.3793103448276,40.0,98.33333333333333,40,136.6666666666667,456.0222222222222,40,79.28571428571429,138.0,272.1041666666667,97.5,395.4545454545454,426.3636363636364,370.1147540983607,628.4848484848485,267.3,270.0,135.0,121.25,322.9411764705882,250.0,50,60,123.3333333333333,179.2857142857143,426.8181818181818,162.0510571651223
12,GLIMEPIRIDE 2 MG + PIOGLITAZONE HCL 15 + METFORMIN HCL 500 MG SR,260.5,106.3157894736842,0,185.7692307692308,50,265.0,100.0,112.6666666666667,30,30,433.6842105263158,36.5625,0,218.5714285714286,191.6666666666667,0,92.63157894736842,100,190,48.75,275.5555555555555,120,46.66666666666666,60.0,98.75,0,50,76.0,13.33333333333333,33.33333333333334,10,141.0526315789474,176.6666666666667,0.0,0,72.5,70.0,345.0344827586207,25.0,352.5,20,213.3333333333333,235.5555555555555,12,10.0,502.0,367.0416666666667,155.0,1113.636363636364,105.0,318.1147540983607,294.5454545454546,460.0,390.8965517241379,221.4705882352941,148.75,507.3529411764706,71.53846153846153,0,0,331.6666666666667,213.5714285714286,252.7272727272727,164.4874885712691
13,PANTOPRAZOLE 40  + DOMPERIDONE (PR) 30 MG CAP,120.5,232.6315789473684,90,142.7307692307692,0,130.6666666666667,93.25,87.53333333333333,260,50,100.5263157894737,61.5625,0,270.7142857142857,301.6666666666667,0,139.4736842105263,160,120,40.0,195.5555555555555,180,36.66666666666666,605.0,213.75,0,40,189.5,23.33333333333333,66.66666666666667,20,197.8947368421053,128.3333333333333,0.0,70,92.5,183.3333333333333,278.9655172413793,45.0,230.0,30,243.3333333333333,311.1111111111111,40,110.7142857142857,96.0,251.9166666666667,112.5,563.5454545454545,157.2727272727273,279.0163934426229,359.2424242424242,500.5,238.5344827586207,369.5882352941176,68.75,321.0294117647059,132.3076923076923,70,20,15.0,491.4285714285714,1003.772727272727,174.3383882648654
14,VOGLIBOSE 0.2 MG + GLIMEPIRIDE 2 MG + METFORMIN  HCL 500 MG (SR) TAB,364.5,140.5263157894737,20,111.3461538461538,0,369.9333333333333,100.0,30.66666666666667,30,0,253.1578947368421,29.0625,0,151.4285714285714,260.0,0,104.7368421052632,0,90,47.5,261.1111111111111,220,46.66666666666666,196.6666666666667,35.625,0,80,203.0,33.33333333333334,63.33333333333334,20,253.6842105263158,161.8333333333333,0.0,0,15.0,60.0,247.7586206896552,10.0,692.1666666666666,40,207.1666666666667,222.6666666666667,40,58.57142857142857,232.0,320.7916666666667,150.0,467.4545454545454,254.5454545454545,322.9836065573771,312.4242424242424,192.0,183.1034482758621,247.9411764705882,237.5,307.9411764705882,78.46153846153847,20,0,475.0,377.8571428571428,325.9090909090909,155.1961122417658
15,METOPROLOL 50 ER,180.5,141.0526315789474,20,279.4230769230769,0,222.6666666666667,87.5,11.33333333333333,100,40,173.6842105263158,19.21875,0,332.1428571428572,151.2222222222222,0,145.7894736842105,0,110,28.75,227.7777777777778,70,20.0,248.3333333333333,233.75,0,30,152.0,6.666666666666667,3.333333333333333,0,211.0526315789474,315.0,0.0,30,92.5,26.66666666666667,315.5172413793103,20.0,265.8333333333333,40,198.3333333333333,328.0,40,83.57142857142857,203.0,226.25,125.0,170.0,190.9090909090909,186.7786885245902,192.6060606060606,456.0,261.3793103448276,213.2352941176471,102.5,205.1470588235294,96.15384615384616,0,0,475.0,196.4285714285714,497.7272727272727,139.6783200267809
16,GLICLAZIDE 80 MG + METFORMIN 500 MG,373.0,121.0526315789474,10,137.5,0,155.0,71.875,17.33333333333333,80,30,164.7368421052632,12.5,0,219.2857142857143,82.22222222222223,0,166.3157894736842,0,10,13.75,134.4444444444445,200,16.66666666666667,211.6666666666667,175.0,0,0,27.0,10.0,3.333333333333333,0,63.1578947368421,101.6666666666667,0.0,0,35.0,6.666666666666667,195.1551724137931,5.0,281.6666666666667,40,475.0,311.4444444444445,80,32.85714285714285,788.0,188.5416666666667,120.0,419.0909090909091,58.63636363636363,198.8196721311475,299.3939393939394,430.0,320.5,265.0,146.25,511.9117647058824,143.0769230769231,20,0,203.3333333333333,105.7142857142857,522.2727272727273,139.854585453725
17,TELMISARTAN 40MG + METOPROLOL TARTRATE 25MG TAB,181.0,143.1578947368421,20,280.1923076923077,0,288.6666666666667,25.0,8.666666666666666,70,0,172.6315789473684,13.28125,0,332.1428571428572,288.8333333333333,0,73.6842105263158,0,80,10.0,187.7777777777778,90,6.666666666666667,206.6666666666667,105.0,40,50,223.0,10.0,13.33333333333333,20,305.7894736842105,230.0,0.0,50,15.0,0.0,221.3275862068965,0.0,216.9166666666667,30,103.3333333333333,218.8888888888889,40,77.14285714285714,406.0,251.5625,42.5,180.9090909090909,348.6363636363636,139.1147540983607,179.6969696969697,529.0,182.0689655172414,166.1764705882353,310.0,145.0,45.38461538461539,0,0,183.3333333333333,379.2857142857143,708.8181818181819,137.2315392912343
18,PANTOPRAZOLE 40 MG (B),78.5,130.0,40,133.3269230769231,0,118.6666666666667,79.375,20.66666666666667,80,0,175.2631578947368,29.84375,0,165.7142857142857,183.3333333333333,0,66.3157894736842,0,270,27.5,83.33333333333333,260,33.33333333333334,236.6666666666667,90.0,0,60,155.5,73.33333333333333,10.0,20,155.7894736842105,76.66666666666667,0.0,20,297.5,73.33333333333333,325.5172413793103,20.0,150.8333333333333,30,453.3333333333333,257.4222222222222,212,45.0,88.0,181.2916666666667,167.5,291.8181818181818,228.1818181818182,225.6229508196721,367.8787878787879,387.0,307.7931034482759,215.0,37.5,145.5882352941177,121.5384615384615,0,0,48.33333333333334,252.8571428571429,291.3636363636364,128.497383518182
19,TELMISARTAN 20 MG TAB,159.5,162.1052631578947,40,168.4615384615385,0,311.3333333333333,55.0,21.33333333333333,0,40,181.578947368421,9.53125,0,200.0,146.1111111111111,0,41.05263157894737,0,40,17.5,106.6666666666667,70,16.66666666666667,136.6666666666667,88.75,20,0,199.0,6.666666666666667,133.3333333333333,0,235.7894736842105,188.3333333333333,25.0,30,37.5,56.66666666666666,230.0,0.0,368.3333333333333,60,116.6666666666667,191.3333333333333,40,77.14285714285714,254.0,148.5416666666667,67.5,250.9090909090909,277.7272727272727,222.7049180327869,247.8787878787879,429.0,169.5172413793103,175.5882352941177,176.25,131.1764705882353,73.07692307692308,0,10,323.3333333333333,193.5714285714286,461.3636363636364,121.2724139258186
20,ACE+PARA+SERRA,116.0,158.421052631579,180,154.4230769230769,0,247.0,40.0,58.66666666666666,30,20,129.4736842105263,49.0625,0,187.1428571428571,222.2222222222222,0,48.94736842105263,200,90,8.75,170.0,10,6.666666666666667,156.6666666666667,117.5,0,10,258.0,13.33333333333333,36.66666666666666,0,373.6842105263158,41.66666666666666,15.0,0,2.5,33.33333333333334,241.0344827586207,30.0,177.5,0,113.3333333333333,163.1111111111111,50,85.0,74.0,239.4166666666667,27.5,350.0,391.8181818181818,123.8360655737705,203.6363636363636,155.0,176.1206896551724,184.4117647058823,15.0,268.5294117647059,24.61538461538462,40,0,71.66666666666667,418.0,377.7272727272727,114.0695931287423
21,GLIMEPIRIDE 2 MG + METFORMIN HYDROCHLORIDE 500 MG PR TAB,230.75,68.42105263157895,0,73.26923076923077,0,129.3333333333333,96.25,28.66666666666667,0,50,111.0526315789474,19.875,0,122.8571428571429,191.5,0,152.8421052631579,30,450,61.25,33.33333333333334,390,73.33333333333333,73.33333333333333,56.25,0,60,87.0,63.33333333333334,20.0,50,187.3684210526316,23.33333333333333,0.0,0,277.5,133.3333333333333,146.5862068965517,55.0,91.66666666666667,50,146.6666666666667,274.3555555555556,40,52.85714285714285,140.0,138.8125,82.5,677.2727272727273,250.4545454545455,261.7950819672131,450.969696969697,174.0,180.0,103.8235294117647,91.25,314.4411764705882,180.0,40,0,60.0,66.42857142857143,258.1818181818182,121.7658328563841
22,METFORMIN HYDROCHLORIDE 500 MG SR,185.5,181.0526315789474,20,159.6153846153846,0,230.3333333333333,18.75,18.0,190,0,76.3157894736842,35.0625,0,356.4285714285714,126.1111111111111,0,88.42105263157895,0,100,50.0,67.77777777777777,160,53.33333333333334,165.0,196.25,0,50,112.0,26.66666666666667,40.0,30,71.05263157894737,36.66666666666666,0.0,0,92.5,50.0,215.3448275862069,25.0,155.8333333333333,50,386.6666666666667,282.4444444444445,170,39.28571428571428,294.0,48.02083333333334,75.0,315.4545454545454,103.1818181818182,257.1475409836066,261.0606060606061,503.0,189.8275862068965,175.8823529411765,103.75,133.2352941176471,141.2307692307692,40,20,11.66666666666667,188.5714285714286,342.9090909090909,119.2912852249199
23,RABE 20 +DOMP 30SR CAP,180.0,264.7368421052632,50,122.6923076923077,0,85.66666666666667,30.0,24.66666666666667,90,0,74.73684210526316,17.65625,0,182.8571428571429,145.0,0,54.21052631578947,30,120,11.25,71.11111111111111,50,30.0,303.3333333333333,105.0,0,30,80.5,16.66666666666667,6.666666666666667,20,70.0,73.33333333333333,0.0,0,62.5,110.0,336.3793103448276,15.0,59.16666666666666,50,108.3333333333333,205.5555555555555,50,39.28571428571428,58.0,139.4166666666667,87.5,335.4545454545454,34.09090909090909,184.4426229508197,304.2424242424242,463.0,321.7241379310345,245.8823529411765,42.5,197.6470588235294,100.7692307692308,0,20,133.3333333333333,255.0,322.2727272727273,105.1044594473445
24,CILNIDIPINE 10 MG TAB,105.0,111.5789473684211,60,87.3076923076923,60,134.3333333333333,36.875,12.0,60,40,65.78947368421052,14.375,0,141.4285714285714,91.66666666666667,0,72.10526315789474,0,80,27.5,104.4444444444444,0,10.0,100.0,113.125,0,10,89.0,6.666666666666667,16.66666666666667,0,148.421052631579,96.66666666666667,0.0,0,122.5,16.66666666666667,196.3793103448276,5.0,171.6666666666667,20,275.0,150.8888888888889,142,29.28571428571428,136.0,188.75,212.5,163.6363636363636,119.3181818181818,245.327868852459,339.1212121212121,237.0,324.6551724137931,205.2941176470588,361.25,249.2647058823529,123.8461538461538,10,20,205.0,109.2857142857143,315.0909090909091,104.5980649439647
25,TENELIGLIPTIN 20 MG TAB,106.0,146.8421052631579,0,105.9615384615385,0,247.6666666666667,82.5,6.666666666666667,20,0,122.1052631578947,13.90625,0,185.7142857142857,102.2222222222222,0,80.52631578947368,0,200,36.25,92.22222222222223,50,26.66666666666667,150.0,71.25,0,30,139.5,0.0,13.33333333333333,10,126.8421052631579,91.66666666666667,0.0,80,172.5,50.0,181.0344827586207,0.0,230.8333333333333,0,326.6666666666667,256.5777777777778,40,35.71428571428572,208.0,178.4375,130.0,219.0909090909091,167.7272727272727,241.8360655737705,210.0,416.0,197.9310344827586,181.4705882352941,195.0,205.8823529411765,120.7692307692308,20,0,245.0,87.14285714285714,315.0909090909091,110.6436122920447
26,ATORVASTATIN (IR) 10 MG + CLOPIDOGREL (IR) 75 MG + ASPIRIN 75 MG (EC) CAP,220.0,155.2631578947368,0,126.9230769230769,0,202.3333333333333,21.25,14.0,20,40,124.2105263157895,16.25,0,169.2857142857143,209.4444444444445,0,44.21052631578947,0,60,11.25,130.0,30,3.333333333333333,28.33333333333333,53.75,0,0,158.5,0.0,36.66666666666666,0,214.2105263157895,255.0,10.0,20,40.0,0.0,248.3620689655172,10.0,250.8333333333333,0,61.66666666666666,70.44444444444444,40,25.0,280.0,246.9791666666667,37.5,376.3636363636364,187.2727272727273,130.983606557377,129.3939393939394,284.0,346.7241379310345,249.7058823529412,141.25,286.4705882352941,31.53846153846154,10,0,108.3333333333333,237.1428571428571,233.1818181818182,102.1803382149532
27,LEVOCETIRIZINE + MONTE 10 TAB,141.0,194.7368421052632,360,151.9230769230769,0,184.0,30.0,24.66666666666667,60,60,139.4736842105263,31.625,30,180.7142857142857,222.7777777777778,0,97.36842105263158,50,140,33.75,111.1111111111111,120,10.0,688.3333333333334,103.75,0,0,324.0,36.66666666666666,16.66666666666667,50,278.9473684210527,33.33333333333334,20.0,30,37.5,133.3333333333333,203.448275862069,25.0,151.8333333333333,120,101.6666666666667,158.7111111111111,60,92.85714285714286,158.0,72.60416666666667,32.5,432.7272727272727,186.6363636363636,166.983606557377,193.8484848484848,245.0,152.8620689655172,186.5882352941177,48.75,214.4117647058823,76.15384615384616,10,0,28.33333333333333,317.1428571428572,438.6363636363636,126.9900390605418
28,ATORVASTATIN (IR) 20 MG + CLOPIDOGREL (IR) 75 MG + ASPIRIN 75 MG (EC) CAP,197.75,147.8947368421053,20,203.8461538461538,0,212.9333333333333,3.75,9.333333333333334,20,0,134.7368421052632,9.0625,0,102.1428571428571,201.6666666666667,5,58.42105263157895,0,30,17.5,131.1111111111111,90,6.666666666666667,60.0,66.25,30,0,168.5,0.0,36.66666666666666,10,195.2631578947368,146.6666666666667,25.0,30,95.0,0.0,252.5,15.0,145.8333333333333,0,40.0,92.44444444444444,10,69.28571428571429,134.0,178.7916666666667,45.0,446.3636363636364,236.8181818181818,149.0819672131148,96.51515151515152,258.0,182.7586206896552,164.4117647058823,175.0,213.8235294117647,42.30769230769231,10,0,265.0,317.1428571428572,283.6363636363636,99.82343918161266
29,TENELIGLIPTIN 20 MG + METFORMIN HYDROCHLORIDE 500 MG ER,82.0,118.9473684210526,30,79.42307692307692,0,245.0,35.0,14.66666666666667,40,0,102.6315789473684,12.34375,0,127.8571428571429,117.2222222222222,0,68.94736842105263,0,70,12.5,70.0,200,13.33333333333333,181.6666666666667,85.625,0,0,151.5,3.333333333333333,0.0,0,156.6315789473684,168.3333333333333,0.0,60,100.0,20.0,184.9137931034483,0.0,309.1666666666667,60,398.3333333333333,222.0,130,28.57142857142857,142.0,120.8333333333333,80.0,258.1818181818182,119.0909090909091,234.6885245901639,265.8181818181818,519.0,157.3275862068965,108.5294117647059,157.5,145.5882352941177,133.8461538461538,0,0,258.3333333333333,124.2857142857143,183.6363636363636,106.4858286845903
30,TELMISARTAN 40 MG + CHLORTHALIDONE 12.5 MG TAB,169.0,63.94736842105263,0,89.23076923076923,0,182.3333333333333,36.25,12.66666666666667,60,0,142.1052631578947,19.21875,0,108.5714285714286,124.4444444444444,0,142.6315789473684,0,60,25.0,98.88888888888889,60,20.0,253.3333333333333,87.5,0,0,176.0,16.66666666666667,43.33333333333334,0,150.5263157894737,221.6666666666667,0.0,40,10.0,10.0,261.1724137931034,0.0,258.3333333333333,40,105.0,131.1111111111111,20,84.28571428571429,216.0,181.3958333333333,82.5,368.1818181818182,119.5454545454545,141.8852459016393,314.6969696969697,339.0,179.4827586206897,146.7647058823529,526.25,113.2352941176471,44.61538461538461,0,0,211.6666666666667,101.4285714285714,221.8636363636364,105.2655511004563
31,GLIMEPIRIDE 0.5 + METFORMIN HYDROCLORIDE (SR) 500 MG TAB,76.0,181.0526315789474,0,132.3076923076923,0,150.2666666666667,92.5,14.0,30,10,148.9473684210526,15.15625,20,160.7142857142857,160.5555555555555,0,49.47368421052632,0,70,32.5,156.6666666666667,70,40.0,95.0,37.5,0,0,216.0,0.0,30.0,0,92.10526315789474,88.33333333333333,0.0,20,57.5,53.33333333333334,152.2413793103448,10.0,324.1666666666667,0,85.0,135.5555555555555,0,68.57142857142857,276.0,85.20833333333333,50.0,295.4545454545454,275.1363636363636,189.3360655737705,188.5757575757576,379.0,159.3103448275862,128.2941176470588,168.75,208.8235294117647,50.0,0,20,385.0,172.1428571428571,237.2727272727273,100.6944825861224
32,ITRACONAZOLE 200MG CAP,135.2,164.2105263157895,50,108.1153846153846,0,108.9333333333333,28.25,70.0,160,0,165.2631578947368,42.65625,0,122.8571428571429,116.6666666666667,4,76.84210526315789,120,0,16.25,87.77777777777777,0,50.0,311.6666666666667,71.25,0,0,119.0,6.666666666666667,13.33333333333333,10,196.3157894736842,125.0,0.0,15,7.5,13.33333333333333,248.0172413793103,10.0,102.5833333333333,10,28.33333333333333,107.5555555555556,30,106.4285714285714,78.0,130.4166666666667,27.5,328.5454545454546,271.8181818181818,132.9180327868852,211.5151515151515,44.5,144.1379310344828,97.3529411764706,3.75,202.5,31.53846153846154,120,20,158.3333333333333,289.2857142857143,421.3636363636364,93.2139948300352
33,CLOPIDOGREL 75 MG TAB,231.5,84.21052631578948,10,65.0,0,190.4,72.5,10.66666666666667,0,0,74.21052631578948,17.5,0,88.57142857142857,68.33333333333333,0,56.31578947368421,0,100,10.0,24.44444444444444,120,10.0,85.0,38.75,0,0,106.5,10.0,3.333333333333333,0,114.4736842105263,118.3333333333333,0.0,20,205.0,3.333333333333333,337.0689655172414,15.0,139.1666666666667,20,250.0,148.0444444444445,0,19.28571428571428,146.0,133.125,80.0,130.0,135.0,162.483606557377,203.3636363636364,641.0,145.3793103448276,152.9411764705882,370.0,68.82352941176471,90.76923076923077,0,0,196.6666666666667,153.5714285714286,164.0909090909091,92.70089975384379
34,VILDAGLIPTIN 50 MG,93.0,60.0,0,51.15384615384615,0,267.3333333333333,27.5,7.333333333333333,30,0,145.7894736842105,15.78125,0,83.57142857142857,64.44444444444444,15,15.78947368421053,0,120,28.75,96.66666666666667,120,20.0,56.66666666666666,42.5,0,20,76.0,6.666666666666667,16.66666666666667,40,71.3157894736842,108.3333333333333,0.0,10,105.0,63.33333333333334,112.7586206896552,30.0,155.0,20,393.3333333333333,219.1111111111111,110,32.14285714285715,98.0,100.8333333333333,120.0,134.5454545454545,105.9090909090909,212.5573770491803,154.8484848484848,460.3,165.1724137931035,203.5294117647059,52.5,231.1764705882353,89.46153846153847,10,40,138.3333333333333,84.28571428571429,249.0909090909091,88.91246286177562
